year,month,day,time,region,ad,Total_Bytes
2018,4,3,17,fra,1,1242267956736
2018,4,3,18,fra,1,1243003100160
2018,4,3,19,fra,1,1243228787712
2018,4,3,20,fra,1,1243839407616
2018,4,3,21,fra,1,1244049887232
2018,4,3,22,fra,1,1244547107840
2018,4,3,23,fra,1,1244756751360
2018,4,4,0,fra,1,1222392007168
2018,4,4,1,fra,1,1244758286848
2018,4,4,2,fra,1,1244985830400
2018,4,4,3,fra,1,1245919859200
2018,4,4,4,fra,1,1246137998848
2018,4,4,5,fra,1,1248482029568
2018,4,4,6,fra,1,1248726346752
2018,4,4,7,fra,1,1248782956544
2018,4,4,8,fra,1,1249002076160
2018,4,4,9,fra,1,1245839028736
2018,4,4,10,fra,1,1246087747072
2018,4,4,11,fra,1,1255273248256
2018,4,4,12,fra,1,1270764617216
2018,4,4,13,fra,1,1277691224576
2018,4,4,14,fra,1,1313181736448
2018,4,4,15,fra,1,1374177737216
2018,4,4,16,fra,1,1372862913024
2018,4,4,17,fra,1,1373137618432
2018,4,4,18,fra,1,1363786114048
2018,4,4,19,fra,1,1364037348352
2018,4,4,20,fra,1,1375387798016
2018,4,4,21,fra,1,1364751305728
2018,4,4,22,fra,1,1363299838976
2018,4,4,23,fra,1,1363531141120
2018,4,5,0,fra,1,1369434113024
2018,4,5,1,fra,1,1369661835264
2018,4,5,2,fra,1,1348733212672
2018,4,5,3,fra,1,1366853099008
2018,4,5,4,fra,1,1367079534080
2018,4,5,5,fra,1,1366939719680
2018,4,5,6,fra,1,1365964915200
2018,4,5,7,fra,1,1366545712640
2018,4,5,8,fra,1,1367036213248
2018,4,5,9,fra,1,1364275735040
2018,4,5,10,fra,1,1364513070592
2018,4,5,11,fra,1,1372929307648
2018,4,5,12,fra,1,1373160637952
2018,4,5,13,fra,1,1371693638656
2018,4,5,14,fra,1,1371906412032
2018,4,5,15,fra,1,1361612247040
2018,4,5,16,fra,1,1365154209280
2018,4,5,17,fra,1,1365355466240
2018,4,5,18,fra,1,1368509316096
2018,4,5,19,fra,1,1368737769984
2018,4,5,20,fra,1,1374029787648
2018,4,5,21,fra,1,1374255685632
2018,4,5,22,fra,1,1370399929344
2018,4,5,23,fra,1,1370630820864
2018,4,6,0,fra,1,1371701175808
2018,4,6,1,fra,1,1371922185216
2018,4,6,2,fra,1,1375190296064
2018,4,6,3,fra,1,1375454172672
2018,4,6,4,fra,1,1373944966656
2018,4,6,5,fra,1,1379465924608
2018,4,6,6,fra,1,1379673653248
2018,4,6,7,fra,1,1378720230400
2018,4,6,8,fra,1,1378927277568
2018,4,6,9,fra,1,1382960885248
2018,4,6,10,fra,1,1383348450816
2018,4,6,11,fra,1,1380394474496
2018,4,6,12,fra,1,1380722510848
2018,4,6,13,fra,1,1389084190720
2018,4,6,14,fra,1,1420685952512
2018,4,6,15,fra,1,1423097409024
2018,4,6,16,fra,1,1423306763776
2018,4,6,17,fra,1,1413404625408
2018,4,6,18,fra,1,1420808916480
2018,4,6,19,fra,1,1421032180224
2018,4,6,20,fra,1,1418976783360
2018,4,6,21,fra,1,1419217700352
2018,4,6,22,fra,1,1418447207936
2018,4,6,23,fra,1,1418672105472
2018,4,7,0,fra,1,1424034228224
2018,4,7,1,fra,1,1424290773504
2018,4,7,2,fra,1,1427702368768
2018,4,7,3,fra,1,1427944657408
2018,4,7,4,fra,1,1426883335168
2018,4,7,5,fra,1,1427121458176
2018,4,7,6,fra,1,1413085947392
2018,4,7,7,fra,1,1424790667776
2018,4,7,8,fra,1,1425014076416
2018,4,7,9,fra,1,1421956506112
2018,4,7,10,fra,1,1422184518144
2018,4,7,11,fra,1,1422438512640
2018,4,7,12,fra,1,1422663915520
2018,4,7,13,fra,1,1421603406336
2018,4,7,14,fra,1,1421846658048
2018,4,7,15,fra,1,1419260766720
2018,4,7,16,fra,1,1419488452608
2018,4,7,17,fra,1,1425112364032
2018,4,7,18,fra,1,1425358742528
2018,4,7,19,fra,1,1419840643584
2018,4,7,20,fra,1,1430376350720
2018,4,7,21,fra,1,1430607928320
2018,4,7,22,fra,1,1429809777664
2018,4,7,23,fra,1,1430024536064
2018,4,8,0,fra,1,1431496882176
2018,4,8,1,fra,1,1431693451776
2018,4,8,2,fra,1,1437180386816
2018,4,8,3,fra,1,1437405079040
2018,4,8,4,fra,1,1432635524096
2018,4,8,5,fra,1,1432838568960
2018,4,8,6,fra,1,1435126941184
2018,4,8,7,fra,1,1435322768384
2018,4,8,8,fra,1,1416903846400
2018,4,8,9,fra,1,1423818803712
2018,4,8,10,fra,1,1424047437312
2018,4,8,11,fra,1,1426955269120
2018,4,8,12,fra,1,1427211021312
2018,4,8,13,fra,1,1430224209408
2018,4,8,14,fra,1,1430434535936
2018,4,8,15,fra,1,1430904899072
2018,4,8,16,fra,1,1431117641216
2018,4,8,17,fra,1,1430745980416
2018,4,8,18,fra,1,1430973262848
2018,4,8,19,fra,1,1430171429888
2018,4,8,20,fra,1,1430399297536
2018,4,8,21,fra,1,1429134114304
2018,4,8,22,fra,1,1433761103360
2018,4,8,23,fra,1,1433981148160
2018,4,9,0,fra,1,1431135704064
2018,4,9,1,fra,1,1431376143872
2018,4,9,2,fra,1,1431663780864
2018,4,9,3,fra,1,1431904822272
2018,4,9,4,fra,1,1435304646144
2018,4,9,5,fra,1,1435539110912
2018,4,9,6,fra,1,1428182195712
2018,4,9,7,fra,1,1428405267968
2018,4,9,8,fra,1,1432079408640
2018,4,9,9,fra,1,1432320823296
2018,4,9,10,fra,1,1431122269184
2018,4,9,11,fra,1,1431354230272
2018,4,9,12,fra,1,1411579907584
2018,4,9,13,fra,1,1439529872896
2018,4,9,14,fra,1,1439745477120
2018,4,9,15,fra,1,1442822668800
2018,4,9,16,fra,1,1443041675264
2018,4,9,17,fra,1,1439953057792
2018,4,9,18,fra,1,1440163333632
2018,4,9,19,fra,1,1431825243136
2018,4,9,20,fra,1,1432042693632
2018,4,9,21,fra,1,1439053947904
2018,4,9,22,fra,1,1439273368576
2018,4,9,23,fra,1,1437814214656
2018,4,10,0,fra,1,1439428662272
2018,4,10,1,fra,1,1439635214848
2018,4,10,2,fra,1,1438477246976
2018,4,10,3,fra,1,1438719754752
2018,4,10,4,fra,1,1436049844736
2018,4,10,5,fra,1,1436275259392
2018,4,10,6,fra,1,1437180978176
2018,4,10,7,fra,1,1437397740032
2018,4,10,8,fra,1,1439521505280
2018,4,10,9,fra,1,1451359152128
2018,4,10,10,fra,1,1448085335040
2018,4,10,11,fra,1,1448313966080
2018,4,10,12,fra,1,1451513107456
2018,4,10,13,fra,1,1451724480000
2018,4,10,14,fra,1,1428897724928
2018,4,10,15,fra,1,1452000517120
2018,4,10,16,fra,1,1452217083904
2018,4,10,17,fra,1,1452648895488
2018,4,10,18,fra,1,1452888799744
2018,4,10,19,fra,1,1453872025088
2018,4,10,20,fra,1,1454098475520
2018,4,10,21,fra,1,1458371005440
2018,4,10,22,fra,1,1458604969984
2018,4,10,23,fra,1,1451522732032
2018,4,11,0,fra,1,1451740359168
2018,4,11,1,fra,1,1454237391360
2018,4,11,2,fra,1,1459674424832
2018,4,11,3,fra,1,1459939941888
2018,4,11,4,fra,1,1453506894336
2018,4,11,5,fra,1,1453736309248
2018,4,11,6,fra,1,1453769909248
2018,4,11,7,fra,1,1453957317632
2018,4,11,8,fra,1,1455115942400
2018,4,11,9,fra,1,1455331965440
2018,4,11,10,fra,1,1463367025152
2018,4,11,11,fra,1,1463589181440
2018,4,11,12,fra,1,1454448055808
2018,4,11,13,fra,1,1454667565056
2018,4,11,14,fra,1,1453670529536
2018,4,11,15,fra,1,1453957180928
2018,4,11,16,fra,1,1436472358400
2018,4,11,17,fra,1,1453799346688
2018,4,11,18,fra,1,1454025242624
2018,4,11,19,fra,1,1459482692608
2018,4,11,20,fra,1,1459734055936
2018,4,11,21,fra,1,1460690594304
2018,4,11,22,fra,1,1460915244032
2018,4,11,23,fra,1,1459092899328
2018,4,12,0,fra,1,1459311111168
2018,4,12,1,fra,1,1463696839168
2018,4,12,2,fra,1,1463932133888
2018,4,12,3,fra,1,1467527762432
2018,4,12,4,fra,1,1467739013120
2018,4,12,5,fra,1,1449956132352
2018,4,12,6,fra,1,1455316626432
2018,4,12,7,fra,1,1455569097728
2018,4,12,8,fra,1,1462545059328
2018,4,12,9,fra,1,1462764769792
2018,4,12,10,fra,1,1464198675968
2018,4,12,11,fra,1,1464393412096
2018,4,12,12,fra,1,1466052058112
2018,4,12,13,fra,1,1466302066688
2018,4,12,14,fra,1,1467732652544
2018,4,12,15,fra,1,1467949045248
2018,4,12,16,fra,1,1466762059776
2018,4,12,17,fra,1,1466989464576
2018,4,12,18,fra,1,1449507755520
2018,4,12,19,fra,1,1469305403904
2018,4,12,20,fra,1,1469539798528
2018,4,12,21,fra,1,1467624595456
2018,4,12,22,fra,1,1467890449408
2018,4,12,23,fra,1,1463955761152
2018,4,13,0,fra,1,1464156110848
2018,4,13,1,fra,1,1466322086400
2018,4,13,2,fra,1,1466549350400
2018,4,13,3,fra,1,1472112894464
2018,4,13,4,fra,1,1472337006592
2018,4,13,5,fra,1,1467260131328
2018,4,13,6,fra,1,1467498435072
2018,4,13,7,fra,1,1451062804992
2018,4,13,8,fra,1,1467889639936
2018,4,13,9,fra,1,1468149122560
2018,4,13,10,fra,1,1473778101760
2018,4,13,11,fra,1,1474007312896
2018,4,13,12,fra,1,1475679914496
2018,4,13,13,fra,1,1475905917952
2018,4,13,14,fra,1,1472720317952
2018,4,13,15,fra,1,1472963857408
2018,4,13,16,fra,1,1469304982528
2018,4,13,17,fra,1,1469543561216
2018,4,13,18,fra,1,1471016139264
2018,4,13,19,fra,1,1471264327680
2018,4,13,20,fra,1,1458120247296
2018,4,13,21,fra,1,1472551338496
2018,4,13,22,fra,1,1472745453568
2018,4,13,23,fra,1,1465937958912
2018,4,14,0,fra,1,1466163897856
2018,4,14,1,fra,1,1475474806784
2018,4,14,2,fra,1,1475734572032
2018,4,14,3,fra,1,1474460165120
2018,4,14,4,fra,1,1474747912192
2018,4,14,5,fra,1,1473640701952
2018,4,14,6,fra,1,1473839348224
2018,4,14,7,fra,1,1474894531072
2018,4,14,8,fra,1,1475120375296
2018,4,14,9,fra,1,1460563165696
2018,4,14,10,fra,1,1473056472064
